Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1930,IL,14,7644000,22555,23725,24498,,9088,2702.70000000001,6,,8.96948948502541,8.25026109814644,2.98579912632704,,
1930,IN,15,3242000,7070,8379,8751,,4323,458.5,1,,9.53977778553963,8.17209556698799,4.35592047870159,,
1930,IA,16,2475000,5835,6207,7267,,2759,446,0,,8.6083248257637,8.54170694947243,.86992084980011,,
1930,KS,17,1883000,3937,3990,4638,,2756,255.200000000001,0,,8.36311653256416,7.85237103700638,7.28794559836388,,
1930,KY,18,2623000,5474,5504,5970,,3448,636.699999999997,2,,9.6746489405632,7.85580351948738,8.98382961750031,,
1930,LA,19,2105000,4167,4418,5047,,2440,622.800000000003,5,,10.1202204823494,9.82488095760345,28.3491164445877,,
1930,ME,20,800000,2161,2182,2319,,403,265.699999999997,0,,8.27903002500534,9.1851606965065,.388451386243105,,
1930,MD,21,1636000,4818,6799,7118,,2602,417.100000000006,1,,8.28070268034935,9.07055363059044,10.474668443203,,
1930,MA,22,4250000,18582,20039,22257,,2436,2015.7,0,,8.5233747959137,8.12451168894768,.574478460475802,,
1930,MI,23,4834000,10721,11975,13256,,8115,1515,0,,8.69036093354225,8.90363231301308,1.95348132401705,,
1930,MN,24,2576000,7978,8495,9536,,2242,877.300000000003,0,,9.04861614108086,8.0678254365921,.632984517142177,,
1930,MS,25,2006000,3320,3750,4390,,,395.900000000001,1,,10.4687578976154,9.62538421154022,53.9078533649445,,
1930,MO,26,3646000,10037,10356,10813,,4311,887.800000000003,5,,8.2918293774128,8.80194380879402,6.8708099424839,,
1930,MT,27,539000,1592,1592,1592,,721,113.200000000001,0,,9.44392904639244,9.01148915290833,5.10838441550732,,
